;nach;I;I;II;II;III;III;III;III;IV;IV;IV;IV;IV;IV;V;V;V;V;V;V;VI;VI;VI;VI;VII;VII;VII;VII;VII;VII
von;;S1;S2;S3;S4;S5;S6;S7;S8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;F1;F2;F3;F4;F5;F6
VI;G21;10,06;10,06;9,89;9,89;9,53;9,53;9,53;9,53;6,88;6,88;6,88;6,88;6,88;6,88;5,38;5,38;5,38;5,38;5,38;5,38;0,00;0,00;0,00;0,00;0,09;0,09;0,09;0,09;0,09;0,09
VI;G22;10,06;10,06;9,89;9,89;9,53;9,53;9,53;9,53;6,88;6,88;6,88;6,88;6,88;6,88;5,38;5,38;5,38;5,38;5,38;5,38;0,00;0,00;0,00;0,00;0,09;0,09;0,09;0,09;0,09;0,09
VI;G23;10,06;10,06;9,89;9,89;9,53;9,53;9,53;9,53;6,88;6,88;6,88;6,88;6,88;6,88;5,38;5,38;5,38;5,38;5,38;5,38;0,00;0,00;0,00;0,00;0,09;0,09;0,09;0,09;0,09;0,09
VI;G24;10,06;10,06;9,89;9,89;9,53;9,53;9,53;9,53;6,88;6,88;6,88;6,88;6,88;6,88;5,38;5,38;5,38;5,38;5,38;5,38;0,00;0,00;0,00;0,00;0,09;0,09;0,09;0,09;0,09;0,09
VII;F1;10,15;10,15;10,00;10,00;9,62;9,62;9,62;9,62;6,97;6,97;6,97;6,97;6,97;6,97;5,47;5,47;5,47;5,47;5,47;5,47;0,09;0,09;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00
VII;F2;10,15;10,15;10,00;10,00;9,62;9,62;9,62;9,62;6,97;6,97;6,97;6,97;6,97;6,97;5,47;5,47;5,47;5,47;5,47;5,47;0,09;0,09;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00
VII;F3;10,15;10,15;10,00;10,00;9,62;9,62;9,62;9,62;6,97;6,97;6,97;6,97;6,97;6,97;5,47;5,47;5,47;5,47;5,47;5,47;0,09;0,09;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00
VII;F4;10,15;10,15;10,00;10,00;9,62;9,62;9,62;9,62;6,97;6,97;6,97;6,97;6,97;6,97;5,47;5,47;5,47;5,47;5,47;5,47;0,09;0,09;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00
VII;F5;10,15;10,15;10,00;10,00;9,62;9,62;9,62;9,62;6,97;6,97;6,97;6,97;6,97;6,97;5,47;5,47;5,47;5,47;5,47;5,47;0,09;0,09;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00
VII;F6;10,15;10,15;10,00;10,00;9,62;9,62;9,62;9,62;6,97;6,97;6,97;6,97;6,97;6,97;5,47;5,47;5,47;5,47;5,47;5,47;0,09;0,09;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00
