VAR00001;VAR00002;VAR00003;VAR00004;VAR00005;VAR00006;VAR00007;VAR00008;VAR00009
4;0;0;1;111,75;276,88;0;679,7; 
4;0;1;1;111,75;276,88;0;457,6; 
4;0;2;1;111,75;276,88;0;964,3; 
4;0;3;1;111,75;276,88;0;422,6; 
4;0;4;1;111,75;276,88;0;200,7; 
4;0;5;1;111,75;276,88;0;268,5; 
4;0;6;1;111,75;276,88;0;321,3; 
4;0;25;1;111,75;276,88;0;621,5; 
4;0;26;1;111,75;276,88;0;839,1; 
4;0;27;1;111,75;276,88;0;1028,9; 
4;0;28;1;111,75;276,88;0;1060,4; 
4;0;29;1;111,75;276,88;0;2179,1; 
4;0;30;1;111,75;276,88;0;81; 
4;0;31;1;111,75;276,88;0;1179,9; 
4;0;32;1;111,75;276,88;0;1277,9; 
4;0;33;1;111,75;276,88;0;1802,7; 
4;0;34;1;111,75;276,88;0;561,5; 
4;0;35;1;111,75;276,88;0;1066,6; 
4;0;36;1;111,75;276,88;0;1196,2; 
4;0;37;1;111,75;276,88;0;771,6; 
4;0;38;1;111,75;276,88;0;1026,6; 
4;0;39;1;111,75;276,88;0;505,7; 
4;0;40;1;111,75;276,88;0;917,7; 
4;0;41;1;111,75;276,88;0;1223,2; 
4;0;42;1;111,75;276,88;0;1263,4; 
4;0;43;1;111,75;276,88;0;1141,4; 
4;0;44;1;111,75;276,88;0;1634,5; 
4;0;45;1;111,75;276,88;0;920,8; 
4;0;46;1;111,75;276,88;0;1063,7; 
4;0;47;1;111,75;276,88;0;714,2; 
4;0;48;1;111,75;276,88;0;399,9; 
4;0;49;1;111,75;276,88;0;939,6; 
4;0;50;1;111,75;276,88;0;466,1; 
4;0;51;1;111,75;276,88;0;446,8; 
4;0;52;1;111,75;276,88;0;777,7; 
